Country	[Aff_id_parent]	Aff_id_child	Inst	Affiliation
USA		A11118	Adler	Adler Planetarium, Illinois
USA		A11135	ASTRA	Atmospheric & Space Technology Research Associates (ASTRA)
USA		A11151	Palmer Div	Palmer Divide Observatory, Colorado
USA		A11200	Malin	Malin Space Science Systems, California
USA		A11206	SRI Stanford	Stanford Research Institute, California
Belgium		A11245	Belgium Ast Ass	Belgium Astronomical Association
Luxembourg		A11247	Euro Ctr Geod Seis	European Center for Geodynamics and Seismology, Luxembourg
France		A11257	Ctr Faibles Radio	Centre des Faibles Radioactivites
France		A11269	Obs Blauvac	Observatoire de Blauvac, France
Germany		A11271	VdS	Vereinigung der Sternfreunde, Germany
Venezuela		A11280	EDIMAR	La Salle Foundation for Natural Sciences, Marine Research, Venezuela
Switzerland		A11285	SPACE X	SPACE X Exploration Institute, Switzerland
Switzerland		A11290	ISSI	International Space Science Institute, Switzerland
Switzerland		A11297	Swiss Fed Obs	Swiss Federal Observatory, Zurich, Switzerland
Norway		A11302	Norweg Geo Soc	Norwegian Geological Society
Norway		A11304	EISCAT	European Incoherent Scatter Scientific Association, Norway
Portugal		A11306	Atalaia Crow	Atalaia Group Crow Observatory, Portugal
Portugal		A11307	NUCLIO	Interactive Nucleus of Astronomy, Portugal
Spain		A11312	ASTER	Amateur Astronomers Association of Barcelona, Spain
Spain		A11313	Fabra Barc	Fabra Observatory, Barcelona, Spain
Spain		A11314	Duran Barc	Esteve Duran Observatory, Barcelona, Spain
Spain		A11315	Gualba Barc	Gualba Observatory, Barcelona, Spain
Spain		A11327	Ryl Span Nav Obs	Royal Spanish Naval Observatory
Spain		A11330	Catalan Phy Soc	Catalan Physics Society, Spain
Spain		A11335	FRACTAL SNLE	FRACTAL, SNLE
Croatia		A11338	Ast Soc Croatia	Astronomical Society of Croatia
Slovenia		A11341	Ast Soc Slovenia	Astronomical Society of Slovenia
Hungary		A11350	Hung Ast Ass	Hungarian Astronomical Association
Hungary		A11351	Bolyai Mil U	Bolyai Military University, Hungary
Romania		A11357	Bucharest Astroclub	Bucharest Astroclub, Romania
Czech Republic		A11363	Stefaniks Obs	Stefaniks Observatory, Prague, Czech Republic
Czech Republic		A11365	Copernicus Obs	Copernicus Observatory, Brno, Czech Republic
Czech Republic		A11367	Upice Obs	Upice Observatory, Czech Republic
Poland		A11371	Polish Soc Am Ast	Polish Society of Amateur Astronomers
Poland		A11372	Olsztyn Ast Obs	Olsztyn Astronomical Observatory, Poland
Poland		A11374	Chorzow Ast Obs	Chorzow Astronomical Observatory, Poland
France		A11381	Obs Cantonal	Observatoire Cantonal de Neuchatel, Switzerland
Italy		A11390	EGO	European Gravitational Observatory, Pisa, Italy
Italy		A11412	Ast Obs Aosta	Astronomical Observatory of Aosta, Italy
Italy		A11413	Talmassons Obs	Talmassons Observatory, Italy
Italy		A11414	Geo Obs Coldigioco	Geological Observatory of Coldigioco, Italy
Italy		A11415	Campo Catino Ast Obs	Campo Catino Astronomical Observatory, Italy
Italy		A11419	ISI Turin	Institute for Scientific Interchange, Italy
Italy		A11420	Bellatrix Ast Obs	Bellatrix Astronomical Observatory, Italy
Greece		A11430	Hellenic Mil Ac	Hellenic Military Academy, Greece
Cyprus		A11433	Cyprus Coll	Cyprus College, Nicosia
Ukraine		A11441	Odessa Natl Mar U	Odessa National Maritime University, Ukraine
Belarus		A11451	Belarus St U	Belarus State University, Minsk
Belarus		A11453	Ast Geod Soc Minsk	Astronomical Geodesical Society of Minsk, Belarus
Uzbekistan		A11458	Samarkand St U	Samarkand State University, Uzbekistan
Russia		A11466	EAAS	Eurasian Astronomical Society, Moscow, Russia
Russia		A11468	Khrunichev Sp Ctr	Khrunichev State Research and Production Space Center, Moscow, Russia
Russia		A11469	Korolev Energia	Korolev Energia Space Rocket Corporation, Moscow, Russia
Russia		A11470	SCSE Moscow	State Committee of Standards, Moscow, Russia
Russia		A11471	CAO Dolgoprudnyi	Central Aerological Observatory, Dolgoprudnyi, Russia
Russia		A11472	Rostov St Ped U	Rostov State Pedagogical University, Russia
Germany		A11484	AdW Potsdam	German Academy of Sciences, Potsdam
Belgium		A11487	IMO	International Meteor Organization
Germany		A11489	Archenhold Obs	Archenhold Observatory, Berlin, Germany
Germany		A11490	BAV	West German Variable Star Observers
Germany		A11491	Max Born Inst	Max Born Institute for Nonlinear Optics, Berlin, Germany
Germany		A11508	M Adrian Obs	Michael Adrian Observatory, Germany
Iran		A11517	Geo Surv IR	Geological Survey of Iran
Iran		A11518	ISRC Baghdad	Iranian Space Research Center, Baghdad, Iran
Nepal		A11519	Nepal Ast Soc	Nepal Astronomical Society
Philippines		A11521	PAGASA	Philippine Atmospheric Geophysical and Astronomical Services Administration
Indonesia		A11524	CVGHM	Center for Volcanology and Geohazards, Indonesia
Indonesia		A11525	BAKOSURTANAL	BAKOSURTANAL, Indonesia
Thailand		A11534	ThEP	Thailand Center of Excellence in Physics
Vietnam		A11535	INST	VATLY Institute for Nuclear Science and Technology, Vietnam
Serbia		A11543	Nikola Tesla U	Nikola Tesla University, Serbia
India		A11546	Assam Sci Soc	Assam Science Society, India
India		A11548	Gov New Sci Coll	Government New Science College, India
Korea		A11559	Rad Res Lab Korea	Radio Research Laboratory, Korea
Korea		A11561	Korea Ast Obs	Korea Astronomy Observatory
China		A11573	Beijing Plan	Beijing Planetarium, China
Japan		A11577	Var Star Obs League	Variable Star Observers League of Japan
Japan		A11598	Kobe Sci Mus	Kobe Science Museum, Japan
Japan		A11615	Japan SpGuard Ass	Japan Spaceguard Association
Japan		A11630	JSUP	Japan Space Utilization Promotion Center
Japan		A11640	Gunma Ast Obs	Gunma Astronomical Observatory, Japan
Japan		A11643	Toyoma Sci Mus	Toyoma Science Museum, Japan
Japan		A11644	GRI Osaka	Geo Research Institute, Osaka, Japan
Japan		A11645	Osaka Sci Mus	Osaka Science Museum, Osaka, Japan
Japan		A11646	ALPO	Association for Lunar and Planetary Observers, Japan
Japan		A11647	Misato Ast Obs	Misato Astronomical Observatory, Japan
Japan		A11648	Hamanowa Ast Obs	Hamanowa Astronomical Observatory, Japan
Japan		A11649	Itagaki Ast Obs	Itagaki Astronomical Observatory, Japan
New Zealand		A11654	Ryl Ast Soc NZ	Royal Astronomical Society of New Zealand
New Zealand		A11655	DSIR NZ	Department of Scientific and Industrial Research, New Zealand
New Zealand		A11656	Carter Obs	Carter Observatory, New Zealand
New Zealand		A11657	Auckland Obs	Auckland Observatory, New Zealand
Australia		A11664	Austr At Ener Comm	Australian Atomic Energy Commission
Australia		A11678	Perth Obs	Perth Observatory, Australia
Australia		A11680	Sydney Obs Mus	Sydney Observatory Museum, Australia
Australia		A11681	Hunters Hill Obs	Hunters Hill Observatory, Australia
Australia		A11682	AGSO	Australian Geological Survey Organization
Australia		A11683	Mars Soc	Mars Society, Australia
Australia		A11684	Austr Bur Min Res	Australian Bureau of Mineral Resources
Australia		A11685	Austr Mus Sydney	Australian Museum Sydney
South Africa		A11690	SKA	Square Kilometre Array, South Africa
Cameroon		A11696	IRGM Cameroon	Center for Hydrologic Research, Cameroon
UK		A11697	MVO BWI	Montserrat Volcano Observatory, BWI
Nicaragua		A11699	INETER	National Institute for Territorial Studies, Nicaragua
UK		A11700	Supernova	Supernova Ltd, British Virgin Islands
Argentina		A11709	Rosario Plan Ast Obs	Rosario Planetarium and Astronomical Observatory, Argentina
Chile		A11716	SPACE San Pedro	San Pedro de Atacama Celestial Explorations, Chile
Ireland		A11739	Armagh Obs	Armagh Observatory, Ireland
Canada		A11750	Can Ctr Rem Sen	Canadian Center for Remote Sensing
Canada		A11751	CERCA	Centre de Recherche en Calcul Applique
Canada		A11752	SNOLAB	Sudbury Neutrino Laboratory, Canada
UK		A11756	Scot U Res React Ctr	Scottish Universities Research and Reactor Center
Japan		A11786	NIT Nagano	National Institute of Technology, Nagano College, Japan
USA		A11800	ERIM	Environmental Research Institute of Michigan
USA		A11804	AS&E	American Science and Engineering, Cambridge, Massachusetts
USA		A11810	Interferometrics	Interferometrics, Inc., Herndon, Virginia
USA		A11811	Comp Phy Inc	Computational Physics, Inc., Springfield, Virginia
USA		A11812	Eureka Sci	Eureka Scientific, Oakland, California
Finland		A13003	FINCA	Finnish Center for Astronomy
Sweden		A13005	Swedish Sp	Swedish Space Corporation
Sweden		A13022	Uppsala Iono Obs	Uppsala Ionospheric Observatory, Sweden
USA		A13023	Icarus Res	Icarus Research Inc., Bethesda, Maryland
USA		A13024	GATS	GATS Inc.
USA		A13025	JPRS	Joint Publications Research Institute, Virginia
USA		A13026	ASP	Astronomical Society of the Pacific
Switzerland		A13027	MPDS	Materials Phases Data System, Villars, Switzerland
Israel		A13028	GII	Geophysical Institute of Israel
Pakistan		A13029	NILOP	National Institute of Lasers and Optronics, Islamabad, Pakistan
Italy		A13031	Fermi Res Ctr	Enrico Fermi Research Center, Rome, Italy
Portugal		A13040	INIC	Instituto Nacional de Investigacao Cientifica, Lisbon, Portugal
USA		A13045	ARC	Applied Research Corporation, Landover, Maryland
USA		A13046	ADNET	ADNET Systems Inc., Greenbelt, Maryland
USA		A13047	EITI	Emergent Information Technology Inc., Greenbelt, Maryland
Israel		A13052	Hyd Svc Israel	Hydrological Service, Israel
France		A13055	ORSTOM	Office of Scientific and Technical Research Overseas, France
Germany		A13067	Laser Lab	Laser Lab eV, Gottingen, Germany
Ukraine		A13070	SCCSP Ukrain	Scientific Consulting Company Structure-Properties, Ukraine
USA		A13071	MRI Global	Midwest Research Institute, Colorado
China		A13072	NINT	Northwest Institute of Nuclear Technology, China
USA		A13074	COMSAT	Communications Satellite Corporation
USA		A13078	Praxis	Praxis, Inc., Alexandria, Virginia
USA		A13079	Artep	Artep, Inc., Washington, DC
Japan		A13080	Yamaguchi Jr Coll	Yamaguchi Junior College, Japan
USA		A11146	SSI	Space Science Institute, Colorado
USA	A11146	A11147	CICLOPS	Space Science Institute, Cassini Imaging Central Laboratory for Operations, Boulder, Colorado
Chile		A11344	INI	Isaac Newton Institute, Chile
Serbia	A11344	A11343	Belgrade	Isaac Newton Institute of Chile, Belgrade
Russia	A11344	A11440	Crimean Branch	Isaac Newton Institute of Chile, Crimean Branch
Russia	A11344	A11462	Russia	Isaac Newton Institute of Chile, Russia
Denmark		A00001	Aalborg U	Aalborg University, Denmark
Denmark		A00002	Aarhus U	Aarhus University, Denmark
Denmark	A00002	A00003	Inst Phy Ast	Aarhus University, Institute for Physics and Astronomy
Denmark	A00002	A00004	Inst Geos	Aarhus University, Institute for Geoscience
Canada		A00005	U Fraser Vall	University College of the Fraser Valley, Canada
UK		A00006	Robert Gordon U	Robert Gordon University, UK
UK		A00007	U Aberdeen	University of Aberdeen, UK
UK	A00007	A11755	SUPA	Scottish Universities Physics Alliance
USA		A00008	US Army	United States Army
USA	A00008	A00009	CRREL	Cold Regions Research and Engineering Laboratory
USA	A00008	A00010	ARL Monmouth	Army Research Laboratory, Fort Monmouth, New Jersey
USA	A00008	A00011	Res Off	U.S. Army Research Office, Research Triangle Park, North Carolina
USA	A00008	A00012	White Sands	U.S. Army White Sands Missile Range, New Mexico
USA	A00008	A00013	USACE	Army Corps of Engineers
USA	A00008	A00014	ARL Aberdeen	Army Research Laboratory, Aberdeen Proving Ground, MD
USA	A00008	A00015	ARDEC	Armament Research Development Engineering Center, Picatinny, New Jersey
USA	A00008	A00037	ARL Adelphi	Army Research Laboratory, Adelphi, MD
UK		A00016	Aberystwyth U	Aberystwyth University, UK
UK	A00016	A00017	Inst Geog Ear Sci	Aberystwyth University, Institute of Geography and Earth Sciences
UK	A00016	A00018	Inst Math Phy	Aberystwyth University, Institute of Mathematics and Physics
USA		A00019	Hardin-Simmons U	Hardin-Simmons University, Texas
USA		A00020	McMurry U	McMurry University, Texas
Finland		A00021	Abo Akademi U	Abo Akademi University, Finland
USA		A00022	OH Nrthn U	Ohio Northern University
Australia		A00023	S Austr Mus	South Australian Museum
Australia		A00024	Flinders U	Flinders University, Australia
Australia	A00024	A11642	CEAMS	Center of Excellence in Antimatter-Matter Studies
Australia		A00025	U Adelaide	University of Adelaide, Australia
Australia	A00025	A11673	Sch Phy	University of Adelaide, School of Physics
Australia	A00025	A11674	Sch Ear Env Sci	University of Adelaide, School of Earth and Environmental Sciences
Australia	A00025	A11717	CoEPP	Center of Excellence for Particle Physics at the Terascale
Australia		A00026	U South Austr	University of South Australia
USA		A00027	UMCP	University of Maryland, College Park
USA	A00027	A00028	Dep Chem	University of Maryland, Department of Chemistry
USA	A00027	A00029	Dep Atm Oc Sci	University of Maryland, Department of Atmospheric and Oceanic Science
USA	A00027	A00030	Dep Phy	University of Maryland, Department of Physics
USA	A00027	A00031	Dep Ast	University of Maryland, Department of Astronomy
USA	A00027	A00032	IPST	Institute for Physical Science and Technology, UMD College Park
USA	A00027	A00036	JQI	Joint Quantum Institute, Maryland
USA	A00027	A05873	LPS	Laboratory for Physical Sciences, Maryland
USA	A00027	A11045	CRESST	Center for Research and Exploration in Space Science & Technology
USA	A00027	A13058	CICS	Cooperative Institute for Climate and Satellites
USA	A00027	A13059	ESSIC	Earth System Science Interdisciplinary Center
USA		A00033	UMD	University System of Maryland
USA	A00033	A05911	Bowie St U	Bowie State University, Maryland
USA	A00033	A05912	Coppin St U	Coppin State University, Maryland
USA	A00033	A05913	E Shore	University of Maryland, Eastern Shore
USA		A00034	US DoE	U.S. Department of Energy
USA	A00034	A00035	FERC	Federal Energy Regulatory Commission
USA	A00034	A00038	NREL	National Renewable Energy Laboratory, Colorado
USA	A00034	A00039	Pac NW Natl Lab	Pacific Northwest National Laboratory
USA	A00034	A00075	Ames Res Lab	Ames Research Laboratory, Iowa
USA	A00034	A01138	PPPL	Princeton Plasma Physics Laboratory, New Jersey
USA	A00034	A05717	Cycl Inst	Texas A&M University, Cyclotron Institute
USA	A00034	A05886	KAPL	Knolls Atomic Power Lab, New York
USA	A00034	A06130	SRNL	Savannah River National Laboratory, South Carolina
USA	A00034	A06137	ITER US	ITER, International Thermonuclear Experimental Reactor, Tennessee
USA		A00040	U Akron	University of Akron, Ohio
USA		A00041	SUNY	State University of New York System
USA	A00041	A00042	Albany	SUNY Albany, New York
USA	A00041	A00043	Buffalo	SUNY Buffalo, New York
USA	A00041	A00044	Stony Brook	SUNY Stony Brook, New York
USA	A00041	A00045	Adirondack	SUNY Adirondack, New York
USA	A00041	A00046	Binghamton	SUNY Binghamton, New York
USA	A00041	A00047	Brockport	SUNY Brockport, New York
USA	A00041	A00048	Canton	SUNY Canton, New York
USA	A00041	A00049	Cobleskill	SUNY Cobleskill, New York
USA	A00041	A00050	Syracuse	SUNY Syracuse, New York
USA	A00041	A00051	Cortland	SUNY Cortland, New York
USA	A00041	A00052	Delhi	SUNY Delhi, New York
USA	A00041	A00053	Farmingdale	SUNY Farmingdale, New York
USA	A00041	A00054	Fredonia	SUNY Fredonia, New York
USA	A00041	A00055	Geneseo	SUNY Geneseo, New York
USA	A00041	A00056	New Paltz	SUNY New Paltz, New York
USA	A00041	A00057	Oneonta	SUNY Oneonta, New York
USA	A00041	A00058	Oswego	SUNY Oswego, New York
USA	A00041	A00059	Plattsburgh	SUNY Plattsburgh, New York
USA	A00041	A00060	Potsdam	SUNY Potsdam, New York
USA	A00041	A00061	Purchase	SUNY Purchase, New York
USA	A00041	A06127	Poly Utica	SUNY Polytechnic Institute, Utica, New York
USA	A00041	A06128	Poly Albany	SUNY Polytechnic Institute, Albany, New York
USA		A00062	USDA	U.S. Department of Agriculture
USA		A00063	Albion Coll	Albion College, Michigan
USA		A00064	UNM	University of New Mexico
USA	A00064	A05880	CHTM	University of New Mexico, Center for High Technology Materials
USA	A00064	A11172	Dep Phy Ast	University of New Mexico, Department of Physics and Astronomy
USA	A00064	A11173	Dep Ear Plan Sci	University of New Mexico, Department of Earth and Planetary Sciences
USA		A00065	Sandia Natl Lab	Sandia National Laboratories, New Mexico
USA	A00065	A11214	Livermore	Sandia National Laboratories, Livermore, California
Australia		A00066	Charles Sturt U	Charles Sturt University
USA		A00067	Alfred U	Alfred University, New York
USA		A00068	Abilene Christ U	Abilene Christian University, Texas
USA		A00069	Grand Vall St U	Grand Valley State University, Michigan
USA		A00070	Muhlenberg Coll	Muhlenberg College, Pennsylvania
USA		A00071	Cedar Crest Coll	Cedar Crest College, Pennsylvania
USA		A00072	Alma Coll	Alma College, Michigan
USA		A00073	Georgia SW St U	Georgia Southwestern State University
USA		A00074	IA St U	Iowa State University
USA	A00074	A00075	Ames Res Lab	Ames Research Laboratory
USA	A00074	A11110	Dep Phy Ast	Iowa State University, Department of Physics and Astronomy
USA		A00076	Amherst Coll	Amherst College, Massachusetts
USA	A00076	A11027	FCRAO	Five College Radio Astronomy Observatory
USA		A00077	Hampshire Coll	Hampshire College, Massachusetts
USA	A00077	A11027	FCRAO	Five College Radio Astronomy Observatory
Netherlands		A00078	KNAW	Koninklijke Nederlandse Academie van Wetenschappen
Netherlands		A00079	VU Amsterdam	Free University of Amsterdam, Netherlands
Netherlands	A00079	A00080	Dep Ear Sci	Free University of Amsterdam, Department of Earth Sciences
Netherlands	A00079	A11237	Dep Phy Ast	Free University of Amsterdam, Department of Physics and Astronomy
Netherlands		A00081	U Amsterdam	University of Amsterdam, Netherlands
Netherlands	A00081	A00082	Inst Phy	University of Amsterdam, Institute of Physics
Netherlands	A00081	A11238	API	University of Amsterdam, Anton Pannekoek Institute for Astronomy
USA		A00083	USFWS	U.S. Fish and Wildlife Service
USA		A00084	U MI	University of Michigan
USA	A00084	A00085	Dearborn	University of Michigan, Dearborn
USA	A00084	A00086	Flint	University of Michigan, Flint
USA	A00084	A00087	Dep Phy	University of Michigan, Department of Physics
USA	A00084	A11079	Dep Ast	University of Michigan, Department of Astronomy
USA	A00084	A11080	Rad Ast Obs	University of Michigan, Radio Astronomy Observatory
USA	A00084	A11081	SPRL	University of Michigan, Space Physics Research Laboratory
USA	A00084	A11082	AOSS	University of Michigan, Department of Atmospheric Oceanic and Space Sciences
USA	A00084	A11083	Dep Geo Sci	University of Michigan, Department of Geological Sciences
USA		A00088	US EPA	U.S. Environmental Protection Agency
USA	A00088	A00089	Res Tri Park	U.S. Environmental Protection Agency, Research Triangle Park, North Carolina
USA		A00090	Bard Coll	Bard College, New York
USA		A00091	St Johns Coll MD	Saint Johns College, Annapolis, Maryland
Canada		A00092	St Francis Xavier U	Saint Francis Xavier University, Nova Scotia
USA		A00093	Lawrence U	Lawrence University, Wisconsin
USA		A00094	CalState	California State University System
USA	A00094	A00095	Sacramento	California State University, Sacramento
USA	A00094	A00096	Humboldt	Humboldt State University, California
USA	A00094	A00097	Bakersfield	California State University, Bakersfield
USA	A00094	A00098	Chico	California State University, Chico
USA	A00094	A00099	Fresno	California State University, Fresno
USA	A00094	A00100	Fullerton	California State University, Fullerton
USA	A00094	A00101	Hayward	California State University, Hayward
USA	A00094	A00102	Long Beach	California State University, Long Beach
USA	A00094	A00103	Los Angeles	California State University, Los Angeles
USA	A00094	A00104	Monterey Bay	California State University, Monterey Bay
USA	A00094	A00105	Northridge	California State University, Northridge
USA	A00094	A00106	San Bernardino	California State University, San Bernardino
USA	A00094	A00107	San Marcos	California State University, San Marcos
USA	A00094	A00108	Turlock	California State University, Turlock
USA	A00094	A00109	Dominguez Hills	California State University, Dominguez Hills
USA	A00094	A00110	Cal Poly Pomona	California State Polytechnic University, Pomona
USA	A00094	A00111	Sonoma	Sonoma State University, California
USA	A00094	A00112	SDSU	San Diego State University, California
USA	A00094	A00113	SFSU	San Francisco State University, California
USA	A00094	A00114	San Jose	San Jose State University, California
USA	A00094	A00115	Santa Clara U	Santa Clara University, California
USA	A00094	A00116	Cal Poly SLO	California State Polytechnic University, San Luis Obisp, California
USA		A00117	Marymount U	Marymount University, Virginia
USA		A00118	ANL	Argonne National Laboratory, Illinois
USA	A00118	A11125	Phy Div	Argonne National Laboratory, Physics Division
USA	A00118	A11126	HEPD	Argonne National Laboratory, High Energy Physics Division
USA		A00119	Raytheon	Raytheon Corporation
USA	A00119	A06139	Pratt Whit	Raytheon Corporation, Pratt and Whitney
USA	A00119	A11220	CA	Raytheon Corporation, California
USA	A00119	A11221	MD	Raytheon Corporation, Maryland
USA	A00119	A11222	AZ	Raytheon Corporation, Arizona
USA	A00119	A11223	Hughes Air	Hughes Aircraft
Australia		A00120	U New Eng Armidale	University of New England Armidale, Australia
USA		A00121	Benedictine Coll	Benedictine College, Kansas
Canada		A00122	Athabasca U	Athabasca University, Canada
USA		A00123	Ohio U	Ohio University
USA	A00123	A11428	Dep Phy Ast	Ohio University, Department of Physics and Astronomy
USA		A00124	U GA	University of Georgia
USA	A00124	A00125	Savannah Riv Ec Lab	University of Georgia, Savannah River Ecology Laboratory
USA	A00124	A05189	UGA SkIO	University of Georgia, Skidaway Institute of Oceanography
USA	A00124	A11068	Dep Phy Ast	University of Georgia, Department of Physics and Astronomy
USA		A00126	Clark Atlanta U	Clark Atlanta University, Georgia
USA		A00127	Emory U	Emory University, Georgia
USA		A00128	GIT	Georgia Institute of Technology
USA	A00128	A11063	Ctr Rel Astrop	Georgia Institute of Technology, Center for Relativistic Astrophysics
USA	A00128	A11064	Ear Atm Sci	Georgia Institute of Technology, Earth and Atmospheric Sciences
USA	A00128	A11065	Dep Phy	Georgia Institute of Technology, Department of Physics
USA		A00129	GSU	Georgia State University
USA	A00129	A11066	Dep Phy Ast	Georgia State University, Department of Physics and Astronomy
USA		A00130	Spelman Coll	Spelman College, Georgia
USA		A00131	Auburn U	Auburn University, Alabama
USA	A00131	A11100	Dep Phy	Auburn University, Department of Physics
New Zealand		A00132	Auckland U Tech	Auckland University of Technology, New Zealand
New Zealand		A00133	U Auckland	University of Auckland, New Zealand
New Zealand	A00133	A11652	Dep Phy	University of Auckland, Department of Physics
USA		A00134	UCB	University of California, Berkeley
USA	A00134	A00135	Dep Ear Plan Sci	University of California, Berkeley, Department of Earth and Planetary Science
USA	A00134	A00136	Dep Chem	University of California, Berkeley, Department of Chemistry
USA	A00134	A00137	Dep Phy	University of California, Berkeley, Department of Physics
USA	A00134	A11188	Dep Ast	University of California, Berkeley, Department of Astronomy
USA	A00134	A11189	SSL	University of California, Berkeley, Space Sciences Laboratory
USA	A00134	A11190	Dep Geo Geop	University of California, Berkeley, Department of Geology and Geophysics
USA	A00134	A11211	Chem Div	Lawrence Berkeley National Laboratory, Materials and Chemical Sciences Division
USA	A00134	A11218	Phy Div	Lawrence Berkeley National Laboratory, Physics Division
USA		A00138	U Cal	University of California System
USA	A00138	A13093	IIRPA	University of California, Intercampus Institute for Research at Particle Accelerators
USA		A00139	Babson Coll	Babson College, Massachusetts
USA		A00140	JHU	Johns Hopkins University, Maryland
USA	A00140	A00141	Dep Ear Plan Sci	Johns Hopkins University, Department of Earth and Planetary Sciences
USA	A00140	A00142	Dep Phy Ast	Johns Hopkins University, Department of Physics and Astronomy
USA	A00140	A00143	APL	Johns Hopkins University, Applied Physics Laboratory
USA		A00144	CIW	Carnegie Institution of Washington
Chile	A00144	A00145	Las Campanas Obs	Las Campanas Observatory, Chile
USA	A00144	A00146	OCIW	Carnegie Institution of Washington, Observatories, California
USA	A00144	A00147	Geop Lab	Carnegie Institution of Washington, Geophysical Laboratory
USA	A00144	A00148	Glob Ecol	Carnegie Institution of Washington, Department of Global Ecology
USA	A00144	A00149	Dep Terr Magn	Carnegie Institution of Washington, Department of Terrestrial Magnetism
USA		A00150	Goucher Coll	Goucher College, Maryland
USA		A00151	Morgan St U	Morgan State University, Maryland
USA	A00151	A13050	GESTAR	Goddard Earth Sciences Technology and Research
USA		A00152	Towson U	Towson University, Maryland
UK		A00153	U Coll Bangor	University College of Bangor, UK
UK	A00153	A01299	Ctr Ecol Hydro	Center for Ecology and Hydrology
Switzerland		A00155	F Hoffmann Roche	F Hoffmann-La Roche Ltd, Switzerland
UK		A00156	U Bath	University of Bath, UK
USA		A00157	InterAmer U	Inter American University of Puerto Rico
USA		A00158	Mitre	Mitre Corporation
USA		A00159	AT&T	AT&T Inc.
USA	A00159	A02416	Bell Labs	Lucent Technologies, AT&T Bell Labs
Ireland		A00161	Queens U Belfast	Queens University Belfast, Ireland
UK	A00161	A00162	Sch Math Phy	Queens University Belfast, School of Mathematics and Physics
USA		A00163	W WA U	Western Washington University
USA		A00164	MN St U	Minnesota State University System
USA	A00164	A00165	Metropolitan	Metropolitan State University, Minnesota
USA	A00164	A00166	Bemidji	Minnesota State University, Bemidji
USA	A00164	A00167	Mankato	Minnesota State University, Mankato
USA	A00164	A00168	Winona	Minnesota State University, Winona
USA	A00164	A00169	St Cloud	Minnesota State University, Saint Cloud
USA	A00164	A00170	Moorhead	Minnesota State University, Moorhead
USA		A00171	Bennington Coll	Bennington College, Vermont
Australia		A00172	Curtin U	Curtin University, Australia
Australia	A00172	A00173	Tech	Curtin University of Technology
Malaysia	A00172	A00174	Tech Malaysia	Curtin University of Technology, Malaysia
Australia	A00172	A11642	CEAMS	Center of Excellence in Antimatter-Matter Studies
Australia	A00172	A11661	CAASTRO	Center for Excellence for All Sky Astrophysics
Australia	A00172	A11676	ICRAR	International Center for Radio Astronomy Research
Australia	A00172	A11677	Dep Phy	Curtin University, Department of Physics
USA		A00175	Berea Coll	Berea College, Kentucky
Norway		A00176	U Bergen	University of Bergen, Norway
Norway	A00176	A11305	Dep Phy	University of Bergen, Department of Physics
USA		A00177	LBNL	Lawrence Berkeley National Laboratory, California
USA	A00177	A06061	ALS	Lawrence Berkeley National Laboratory, Advanced Light Source Division
USA	A00177	A11218	Phy Div	Lawrence Berkeley National Laboratory, Physics Division
USA	A00177	A11211	Chem Div	Lawrence Berkeley National Laboratory, Materials and Chemical Sciences Division
Germany		A00178	Siemens AG	Siemens AG, Germany
USA		A00179	Andrews U	Andrews University, Michigan
USA		A00180	Lehigh U	Lehigh University, Pennsylvania
USA		A00181	Ferris St U	Ferris State University, Michigan
USA		A00182	MT St U	Montana State University System
USA	A00182	A00183	Billings	Montana State University, Billings
USA	A00182	A00184	Bozeman	Montana State University, Bozeman
USA		A00185	U IN Bloomington	Indiana University, Bloomington
USA	A00185	A00186	Dep Geo	Indiana University, Department of Geological Sciences
USA	A00185	A11094	Dep Ast	Indiana University, Department of Astronomy
USA	A00185	A11095	Dep Phy	Indiana University, Department of Physics
UK		A00187	City Coll Birmingham	City College Birmingham, UK
UK		A00188	Aston U	Aston University, UK
UK		A00189	U Birmingham	University of Birmingham, UK
UK	A00189	A00190	Sch Phy Ast	University of Birmingham, School of Physics and Astronomy
UK	A00189	A00191	Sch Geog Ear Env Sci	University of Birmingham, School of Geography, Earth and Environmental Sciences
UK		A00192	Birmingham S Coll	Birmingham Southern College, UK
UK		A00193	UK Mnstry Def	UK Ministry of Defense
UK	A00193	A00194	AWE	Atomic Weapons Establishment, UK
UK	A00193	A11765	DSIR	Department of Scientific and Industrial Research, UK
UK	A00193	A11766	Ryl Radar Est	Royal Radar Establishment, UK
UK	A00193	A11767	Ryl Aero Est	Royal Aerospace Establishment, UK
USA		A00195	VA Tech	Virginia Polytechnic Institute and State University
USA	A00195	A11807	Dep Geos	Virginia Tech, Department of Geosciences
USA	A00195	A11808	Dep Phy	Virginia Tech, Department of Physics
Canada		A00196	Simon Fraser U	Simon Fraser University, Canada
USA		A00197	IL Wesleyan U	Illinois Wesleyan University
USA		A00198	U IN	Indiana University System
USA	A00198	A00200	Kokomo	Indiana University, Kokomo
USA	A00198	A00201	Gary	Indiana University, Gary
USA	A00198	A00202	S Bend	Indiana University, South Bend
USA	A00198	A00203	SE	Indiana University Southeast
USA	A00198	A01432	IUPUI	Indiana University Purdue University at Indianapolis
USA		A00204	IUP	Indiana University of Pennsylvania
USA		A00205	Bloomsburg U PA	Bloomsburg University of Pennsylvania
USA		A00206	FL Atl U	Florida Atlantic University
